archetype,mode,chips_per_100,ci_low,ci_high,exploitability,mean_lambda
balanced,equilibrium,-6.333333333333334,-18.30166666666666,6.466666666666667,0.0022684298488883786,0.0
balanced,oracle_br,-0.8,-15.534166666666662,13.501666666666642,2.033333333333333,1.0
balanced,adaptive,0.5,-11.799999999999999,12.467499999999987,0.0022684298488883786,0.0007346504983234635
nit,equilibrium,5.566666666666667,-5.733333333333333,16.800833333333323,0.0022684298488883786,0.0
nit,oracle_br,26.3,9.865833333333338,43.30249999999996,4.05,1.0
nit,adaptive,-2.2666666666666666,-13.466666666666665,8.466666666666667,0.09953500434047188,0.036617100766851034
calling_station,equilibrium,-10.100000000000001,-22.90249999999999,2.901666666666643,0.0022684298488883786,0.0
calling_station,oracle_br,38.2,21.765000000000008,53.63416666666665,1.8166666666666667,1.0
calling_station,adaptive,3.0666666666666664,-9.866666666666667,16.20083333333332,0.09915629192381072,0.0644406151148421
maniac,equilibrium,-9.0,-25.6,7.167499999999988,0.0022684298488883786,0.0
maniac,oracle_br,77.76666666666667,53.19916666666668,102.00083333333332,2.4166666666666665,1.0
maniac,adaptive,10.9,-6.80083333333333,27.634166666666655,0.0998364876087942,0.05862803548067004
bluff_heavy,equilibrium,-4.933333333333334,-18.467499999999998,8.834166666666654,0.0022684298488883786,0.0
bluff_heavy,oracle_br,47.599999999999994,26.53333333333333,68.33416666666665,2.5999999999999996,1.0
bluff_heavy,adaptive,-1.6666666666666667,-15.533333333333331,11.700833333333321,0.09859757267960478,0.05050369300671626
passive,equilibrium,0.0,-11.4,11.301666666666643,0.0022684298488883786,0.0
passive,oracle_br,14.499999999999998,4.0,24.56749999999999,2.3833333333333333,1.0
passive,adaptive,-7.533333333333333,-18.434166666666663,3.668333333333309,0.0996950248069398,0.051279912585923584
