solver,iteration,seconds,exploitability
CFR,1,0.0539,2.224428532822212
CFR,2,0.1018,1.352316960125374
CFR,3,0.1541,0.9719700385708903
CFR,5,0.2516,0.6056967331578199
CFR,7,0.3545,0.45425459917463135
CFR,11,0.5507,0.29677557676829525
CFR,17,0.839,0.19377155569749038
CFR,25,1.2226,0.17651901157954347
CFR,38,1.8593,0.11676362449567923
CFR,58,2.8603,0.08605353513957184
CFR,87,4.302,0.07185239491241366
CFR,131,6.438,0.048492177998988785
CFR,196,9.6532,0.03720712249881243
CFR,295,14.8061,0.032292495226231024
CFR,443,22.1176,0.024206888123947702
CFR,666,33.5547,0.019676676966518508
CFR,1000,50.7097,0.015727868984050063
CFR+,1,0.0958,2.373611111111112
CFR+,2,0.1906,2.0579166666666664
CFR+,3,0.2792,1.793544082380371
CFR+,5,0.454,1.3712323704279956
CFR+,7,0.6282,1.0111540725260255
CFR+,11,0.9989,0.534908404210856
CFR+,17,1.5483,0.24368604756663464
CFR+,25,2.2673,0.11935086897251468
CFR+,38,3.4132,0.05166046933935507
CFR+,58,5.2221,0.02675319728408402
CFR+,87,7.8617,0.016720007085430283
CFR+,131,11.7634,0.00970417079937648
CFR+,196,17.9316,0.005028999166838369
CFR+,295,27.2771,0.0024516235040591486
CFR+,443,40.8723,0.0010214049501858363
CFR+,666,61.1829,0.00048343835326911805
CFR+,1000,92.2184,0.0002473755217343443
