solver,iteration,seconds,exploitability
MCCFR,1,0.001,2.373611111111112
MCCFR,2,0.0017,2.6055555555555565
MCCFR,4,0.0031,2.5613425925925926
MCCFR,8,0.0059,2.6159722222222217
MCCFR,17,0.011,2.823515254457674
MCCFR,36,0.0205,2.437357674423299
MCCFR,74,0.0404,2.4276385259890874
MCCFR,152,0.0786,2.3309228076600403
MCCFR,312,0.194,1.529600043070078
MCCFR,640,0.3638,0.9699721200646197
MCCFR,1312,0.7507,0.6593087977762915
MCCFR,2692,1.4772,0.37146219456815854
MCCFR,5519,2.917,0.22164387574485217
MCCFR,11316,5.9738,0.1328120173696522
MCCFR,23203,12.1998,0.09639965694487194
MCCFR,47575,25.0179,0.059697456119793886
MCCFR,97544,52.5153,0.04701306536640251
MCCFR,200000,106.0303,0.029458132115436644
