archetype,learn_hands,repeat,equilibrium_ev,oracle_ev,guarded_ev,unguarded_ev
nit,5,0,1.966991001543794e-06,0.32402388865703613,-0.0008929701793347622,-0.0008929701793347622
nit,5,1,1.966991001543794e-06,0.32402388865703613,0.0015067089795267607,0.0015067089795267607
nit,5,2,1.966991001543794e-06,0.32402388865703613,0.00230355852486671,0.00230355852486671
nit,5,3,1.966991001543794e-06,0.32402388865703613,-0.00030252108283028434,-0.00030252108283028434
nit,5,4,1.966991001543794e-06,0.32402388865703613,-0.00023583885119061315,-0.00023583885119061315
nit,5,5,1.966991001543794e-06,0.32402388865703613,0.002467961145035648,0.003269732910099167
nit,5,6,1.966991001543794e-06,0.32402388865703613,-0.0003724368539732223,-0.0003724368539732223
nit,5,7,1.966991001543794e-06,0.32402388865703613,-0.0003068522777696994,-0.0003068522777696994
nit,5,8,1.966991001543794e-06,0.32402388865703613,-0.0015979642720327855,-0.0015979642720327855
nit,5,9,1.966991001543794e-06,0.32402388865703613,-0.0010011263091612363,-0.0010011263091612363
nit,5,10,1.966991001543794e-06,0.32402388865703613,0.0027564476567594337,0.005057903814482387
nit,5,11,1.966991001543794e-06,0.32402388865703613,2.0015299750555937e-05,2.0015299750555937e-05
nit,5,12,1.966991001543794e-06,0.32402388865703613,0.0028519039907166435,0.0028519039907166435
nit,5,13,1.966991001543794e-06,0.32402388865703613,-0.0005713695184800804,-0.0005713695184800804
nit,5,14,1.966991001543794e-06,0.32402388865703613,-1.7280022227970926e-05,-1.7280022227970926e-05
nit,20,0,1.966991001543794e-06,0.32402388865703613,0.008527132803766511,0.020445597546807297
nit,20,1,1.966991001543794e-06,0.32402388865703613,0.009656389165005157,0.04569983837690623
nit,20,2,1.966991001543794e-06,0.32402388865703613,0.0013886411337954777,0.001545585753531975
nit,20,3,1.966991001543794e-06,0.32402388865703613,0.0015946562160531336,0.001728838846444064
nit,20,4,1.966991001543794e-06,0.32402388865703613,0.0014409250927739023,0.0017679503274068836
nit,20,5,1.966991001543794e-06,0.32402388865703613,-0.0032508531287266454,-0.0032508531287266454
nit,20,6,1.966991001543794e-06,0.32402388865703613,0.00868243467564287,0.014432638791526273
nit,20,7,1.966991001543794e-06,0.32402388865703613,-0.010804762155851716,-0.010804762155851716
nit,20,8,1.966991001543794e-06,0.32402388865703613,0.00010540740176355479,0.00010540740176355479
nit,20,9,1.966991001543794e-06,0.32402388865703613,0.0027419847759884083,0.0027419847759884083
nit,20,10,1.966991001543794e-06,0.32402388865703613,0.008628605641787634,0.027444843775164943
nit,20,11,1.966991001543794e-06,0.32402388865703613,-0.0026051757800574643,-0.0026051757800574643
nit,20,12,1.966991001543794e-06,0.32402388865703613,0.009900720584510539,0.01776670029941993
nit,20,13,1.966991001543794e-06,0.32402388865703613,0.003905823468810972,0.003905823468810972
nit,20,14,1.966991001543794e-06,0.32402388865703613,0.008412743974364603,0.01966746187826965
nit,60,0,1.966991001543794e-06,0.32402388865703613,0.00975477972914171,0.05717385490886882
nit,60,1,1.966991001543794e-06,0.32402388865703613,0.009887464964158751,0.021385796118891923
nit,60,2,1.966991001543794e-06,0.32402388865703613,0.008792063043015517,0.027237528645166927
nit,60,3,1.966991001543794e-06,0.32402388865703613,0.009773288929450404,0.06308805450984777
nit,60,4,1.966991001543794e-06,0.32402388865703613,0.008679957863819449,0.01638132181286337
nit,60,5,1.966991001543794e-06,0.32402388865703613,0.008580031283105971,0.03167406675134535
nit,60,6,1.966991001543794e-06,0.32402388865703613,0.0018318810579689287,0.0028453313728901905
nit,60,7,1.966991001543794e-06,0.32402388865703613,0.00629428053561934,0.012687904246152674
nit,60,8,1.966991001543794e-06,0.32402388865703613,0.009143218573625558,0.06130343838977732
nit,60,9,1.966991001543794e-06,0.32402388865703613,0.007319289313144975,0.018473566591073853
nit,60,10,1.966991001543794e-06,0.32402388865703613,0.008929671208682738,0.03237454865608493
nit,60,11,1.966991001543794e-06,0.32402388865703613,0.009296008500107499,0.057826225711706716
nit,60,12,1.966991001543794e-06,0.32402388865703613,0.009570981454181011,0.06500261405500238
nit,60,13,1.966991001543794e-06,0.32402388865703613,0.009664046208636298,0.04974941657812449
