workload,label,problem_size,unit,reps,mean_seconds,median_seconds,std_seconds,min_seconds,max_seconds,throughput,throughput_best,seed
hand_eval_7card,baseline,20000,evals,7,0.5308034105775212,0.5302854580222629,0.002832281243765392,0.526880124991294,0.5344763749744743,37678.73303270552,37959.298617176864,42
hand_eval_5card,baseline,20000,evals,7,0.02405019656621984,0.024062708020210266,3.666794148538076e-05,0.023980958969332278,0.024085542012471706,831594.0347901928,833995.00518627,42
equity_preflop_uniform,baseline,5000,sims,7,0.27973380928493236,0.27952724997885525,0.0008147400583548502,0.2791037500137463,0.28149891598150134,17874.135460355028,17914.48520399221,42
equity_flop_uniform,baseline,5000,sims,7,0.2922600357144672,0.28855916700558737,0.006808148893315266,0.2865908330422826,0.30405229196185246,17108.05238142416,17446.47568424604,42
equity_weighted_range,baseline,5000,sims,7,0.33182061300612986,0.332377125043422,0.016155946416995696,0.3131461250013672,0.35823908302700147,15068.382746636758,15966.986658315413,42
cfr_kuhn,baseline,2000,iters,7,0.23833312499170592,0.23909616703167558,0.0041502478980952875,0.23358579102205113,0.24500437499955297,8391.615727228855,8562.164638735216,42
cfr_plus_kuhn,baseline,2000,iters,7,0.41357985701844363,0.41315300000132993,0.009059889064597837,0.4040700829937123,0.4288998330011964,4835.82545440749,4949.636422430021,42
mccfr_kuhn,baseline,5000,iters,7,0.24152887514459767,0.23719729203730822,0.010893650696816226,0.23415425000712276,0.2657871670089662,20701.45856062393,21353.445431154483,42
cfr_leduc,baseline,20,iters,7,0.44380466086191256,0.4422745000338182,0.006909985777316141,0.4346433330210857,0.45630004099803045,45.06487147106121,46.01474008812128,42
cfr_plus_leduc,baseline,20,iters,7,0.8317546188731545,0.8281474590185098,0.03959191128910229,0.7800454160314985,0.8857182909850962,24.04555327519025,25.639532761759597,42
mccfr_leduc,baseline,5000,iters,7,0.995771166718831,0.9847740840050392,0.0328729922334008,0.9657460000016727,1.0514857080415823,5021.2339612880305,5177.344767662864,42
exploitability_leduc,baseline,1,calls,7,0.04998332143960787,0.04563066700939089,0.011995526739461268,0.04441225004848093,0.07713945902651176,20.00667365029444,22.5163102276599,42
profile_value_leduc,baseline,1,calls,7,0.008415226142720453,0.008405875007156283,4.006665178404907e-05,0.008356000005733222,0.008477665949612856,118.83221948408894,119.67448531760168,42
belief_update,baseline,2000,updates,7,0.013123553570559514,0.013067083957139403,0.00011325415174184078,0.013034458039328456,0.013318000012077391,152397.74724482122,153439.44442994587,42
leduc_match_simulation,baseline,2000,hands,7,0.0895141012816956,0.08940741699188948,0.0005117388685302505,0.08881766704143956,0.09032558399485424,22342.848460334957,22518.04248660193,42
