workload,unit,problem_size,seed,implementation_before,implementation_after,mean_seconds_before,mean_seconds_after,median_seconds_before,median_seconds_after,throughput_before,throughput_after,speedup
hand_eval_7card,evals,20000,42,baseline,optimized,0.5308034105775212,0.048197940715389,0.5302854580222629,0.0481844160240143,37678.73303270552,414955.48778942385,11.012989407824259
equity_flop_uniform,sims,5000,42,baseline,optimized,0.2922600357144672,0.0369358274370564,0.2885591670055873,0.0369406249956227,17108.05238142416,135369.91985682893,7.9126435224042755
equity_preflop_uniform,sims,5000,42,baseline,optimized,0.2797338092849323,0.0395431904471479,0.2795272499788552,0.039172375050839,17874.135460355028,126444.02091639084,7.074133526449135
equity_weighted_range,sims,5000,42,baseline,optimized,0.3318206130061298,0.0668772738593231,0.332377125043422,0.0667796669877134,15068.382746636758,74763.81304832398,4.961634855274111
mccfr_kuhn,iters,5000,42,baseline,optimized,0.2415288751445976,0.2255293750204146,0.2371972920373082,0.2216444159857928,20701.45856062393,22170.06099337351,1.0709419787233252
cfr_plus_kuhn,iters,2000,42,baseline,optimized,0.4135798570184436,0.3998786367093479,0.4131530000013299,0.3941783750196919,4835.82545440749,5001.517501555607,1.0342634465843057
cfr_leduc,iters,20,42,baseline,optimized,0.4438046608619125,0.4352312618617101,0.4422745000338182,0.4315353750134818,45.06487147106121,45.952581426365406,1.019698490782876
cfr_plus_leduc,iters,20,42,baseline,optimized,0.8317546188731545,0.8190293748547057,0.8281474590185098,0.8096834159805439,24.04555327519025,24.419148584930745,1.0155369812233002
mccfr_leduc,iters,5000,42,baseline,optimized,0.995771166718831,0.9899442322868188,0.9847740840050392,1.0127417499898002,5021.2339612880305,5050.7895666503955,1.0058861239269528
hand_eval_5card,evals,20000,42,baseline,optimized,0.0240501965662198,0.024677089141083,0.0240627080202102,0.0248769170138984,831594.0347901928,810468.3613880319,0.9745961701042133
exploitability_leduc,calls,1,42,baseline,optimized,0.0499833214396078,0.0518405535590967,0.0456306670093908,0.047029957990162,20.00667365029444,19.289917474743547,0.9641741456836156
belief_update,updates,2000,42,baseline,optimized,0.0131235535705595,0.0137133569722729,0.0130670839571394,0.0137097499682568,152397.74724482122,145843.20994806802,0.9569905893279145
profile_value_leduc,calls,1,42,baseline,optimized,0.0084152261427204,0.0088366962819626,0.0084058750071562,0.0088351660524494,118.83221948408894,113.16446419474543,0.9523045575185745
cfr_kuhn,iters,2000,42,baseline,optimized,0.2383331249917059,0.2529049283974537,0.2390961670316755,0.2470950829447247,8391.615727228855,7908.110026455838,0.9423822876917312
leduc_match_simulation,hands,2000,42,baseline,optimized,0.0895141012816956,0.0959108452828201,0.0894074169918894,0.0955412919865921,22342.848460334957,20852.69913013941,0.9333053109660124
