workload,label,problem_size,unit,reps,mean_seconds,median_seconds,std_seconds,min_seconds,max_seconds,throughput,throughput_best,seed
hand_eval_7card,optimized,20000,evals,7,0.04819794071538906,0.048184416024014354,0.0003818254340137947,0.04767891700612381,0.04877299995860085,414955.48778942385,419472.6150644577,42
hand_eval_5card,optimized,20000,evals,7,0.024677089141083082,0.024876917013898492,0.0006672474484500175,0.023484750010538846,0.02529770799446851,810468.3613880319,851616.4741385344,42
equity_preflop_uniform,optimized,5000,sims,7,0.039543190447147936,0.03917237505083904,0.0007026453494358749,0.03904679202241823,0.040982666017953306,126444.02091639084,128051.49260736482,42
equity_flop_uniform,optimized,5000,sims,7,0.03693582743705649,0.036940624995622784,0.00019085279679555478,0.036698417039588094,0.037279333046171814,135369.91985682893,136245.65862353938,42
equity_weighted_range,optimized,5000,sims,7,0.06687727385932314,0.06677966698771343,0.00023123174042001201,0.06664554198505357,0.06731529097305611,74763.81304832398,75023.7727997071,42
cfr_kuhn,optimized,2000,iters,7,0.25290492839745377,0.2470950829447247,0.02033944967048469,0.23485908296424896,0.29631999996490777,7908.110026455838,8515.744738322284,42
cfr_plus_kuhn,optimized,2000,iters,7,0.3998786367093479,0.3941783750196919,0.012308185355832472,0.38703470799373463,0.41866037499858066,5001.517501555607,5167.4952108749285,42
mccfr_kuhn,optimized,5000,iters,7,0.2255293750204146,0.22164441598579288,0.005961864405082489,0.22074079100275412,0.2343301250366494,22170.06099337351,22651.001553843376,42
cfr_leduc,optimized,20,iters,7,0.43523126186171013,0.4315353750134818,0.023553267521023172,0.4125808750395663,0.47992299997713417,45.952581426365406,48.47534437480169,42
cfr_plus_leduc,optimized,20,iters,7,0.8190293748547057,0.8096834159805439,0.029270985099855863,0.7758557090419345,0.8659801670000888,24.419148584930745,25.77798908600802,42
mccfr_leduc,optimized,5000,iters,7,0.9899442322868188,1.0127417499898002,0.03394034545159865,0.9346621669828892,1.0186419999809004,5050.7895666503955,5349.526467022961,42
exploitability_leduc,optimized,1,calls,7,0.051840553559096794,0.047029957990162075,0.012907854299892493,0.04678724997211248,0.08111133397324011,19.289917474743547,21.373344246478467,42
profile_value_leduc,optimized,1,calls,7,0.008836696281962628,0.008835166052449495,4.1368648952988204e-05,0.008780082978773862,0.008899166947230697,113.16446419474543,113.89414000044563,42
belief_update,optimized,2000,updates,7,0.013713356972272907,0.013709749968256801,5.767859116563917e-05,0.013643083977513015,0.013823082961607724,145843.20994806802,146594.4212684219,42
leduc_match_simulation,optimized,2000,hands,7,0.09591084528282019,0.09554129198659211,0.0010189842881842882,0.09499783394858241,0.09800283302320167,20852.69913013941,21053.11160128662,42
