hand,regime,true_archetype,map_estimate,correct,confidence,posterior_true,lambda_applied,window_chips_per_100,repeat
20,before,maniac,maniac,True,0.9601583354640321,0.9868760310564568,0.058180792446929835,-50.0,0
40,before,maniac,maniac,True,0.998520947870714,0.9997104341880412,0.0585349336395838,30.0,0
60,before,maniac,maniac,True,0.9998975106504082,0.9999848185775716,0.058625153054760015,225.0,0
80,before,maniac,maniac,True,0.9997208390466229,0.9999545213931006,0.05861374355652619,70.0,0
100,before,maniac,maniac,True,0.9999401828501896,0.9999915482573082,0.05862788849916328,110.0,0
120,before,maniac,maniac,True,0.9999975997832028,0.9999997335090645,0.0586315389671032,-60.0,0
140,before,maniac,maniac,True,0.9999997723216152,0.999999978111372,0.05863167483452397,-70.0,0
160,before,maniac,maniac,True,0.9999999998583209,0.9999999999903719,0.05863168893459948,190.0,0
180,before,maniac,maniac,True,0.9999999999968333,0.9999999999998128,0.05863168894304834,-20.0,0
200,before,maniac,maniac,True,0.9999999999999064,0.9999999999999951,0.058631688943234825,-20.0,0
220,before,maniac,maniac,True,0.9999999999999922,0.9999999999999996,0.05863168894324004,-40.0,0
240,before,maniac,maniac,True,0.9999999999999999,1.0,0.05863168894324049,45.0,0
260,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,105.0,0
280,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-95.0,0
300,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-30.0,0
320,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-110.0,0
340,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-25.0,0
360,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-125.0,0
380,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,180.0,0
400,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,145.0,0
420,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,15.0,0
440,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-85.0,0
460,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-140.0,0
480,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-35.0,0
500,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-15.0,0
520,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-45.0,0
540,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-20.0,0
560,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,15.0,0
580,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-60.0,0
600,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-45.0,0
620,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-5.0,0
640,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,40.0,0
660,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-60.0,0
680,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,70.0,0
700,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-75.0,0
720,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-175.0,0
740,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-100.0,0
760,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,205.0,0
780,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,20.0,0
800,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-120.0,0
