repeat,hand,decay,archetype,correct,confidence
0,20,1.0,maniac,True,0.9601583354640321
0,20,0.999,maniac,True,0.9585341043160015
0,20,0.995,maniac,True,0.9516711731477451
0,20,0.99,maniac,True,0.9423020132978384
0,20,0.98,maniac,True,0.9212206848399049
0,40,1.0,maniac,True,0.9993814793840863
0,40,0.999,maniac,True,0.9992768733995583
0,40,0.995,maniac,True,0.9987058281175912
0,40,0.99,maniac,True,0.9975442136024508
0,40,0.98,maniac,True,0.9930250880143746
0,60,1.0,maniac,True,0.9999581932045145
0,60,0.999,maniac,True,0.9999409628926029
0,60,0.995,maniac,True,0.9997957618023653
0,60,0.99,maniac,True,0.9992639699500728
0,60,0.98,maniac,True,0.9951328875395384
0,80,1.0,maniac,True,0.9998885871985507
0,80,0.999,maniac,True,0.9998079257998495
0,80,0.995,maniac,True,0.998756274824173
0,80,0.99,maniac,True,0.9927518480894004
0,80,0.98,maniac,True,0.934205824375282
0,100,1.0,maniac,True,0.9999615255863997
0,100,0.999,maniac,True,0.9999175304092046
0,100,0.995,maniac,True,0.9989918938902131
0,100,0.99,maniac,True,0.9910839646875642
0,100,0.98,maniac,True,0.9004963305329945
0,120,1.0,maniac,True,0.9999883393408633
0,120,0.999,maniac,True,0.999968901580948
0,120,0.995,maniac,True,0.9993250523594128
0,120,0.99,maniac,True,0.9921036072167767
0,120,0.98,maniac,True,0.9162276512001486
0,140,1.0,maniac,True,0.9999806686393214
0,140,0.999,maniac,True,0.9999370912785107
0,140,0.995,maniac,True,0.9978863351410199
0,140,0.99,maniac,True,0.9735132689340521
0,140,0.98,maniac,True,0.8086497967557849
0,160,1.0,maniac,True,0.999999537351138
0,160,0.999,maniac,True,0.9999980227249171
0,160,0.995,maniac,True,0.9998672424552542
0,160,0.99,maniac,True,0.9975212475552878
0,160,0.98,maniac,True,0.9723329736796688
0,180,1.0,maniac,True,0.999999949563322
0,180,0.999,maniac,True,0.9999997082151227
0,180,0.995,maniac,True,0.9999592352240526
0,180,0.99,maniac,True,0.9988982386112429
0,180,0.98,maniac,True,0.9839814495862056
0,200,1.0,maniac,True,0.9999999939305995
0,200,0.999,maniac,True,0.9999999486442854
0,200,0.995,maniac,True,0.9999814132626191
0,200,0.99,maniac,True,0.9991222495208575
0,200,0.98,maniac,True,0.9781778884556268
0,220,1.0,maniac,True,0.9999999999599601
0,220,0.999,maniac,True,0.9999999994685205
0,220,0.995,maniac,True,0.9999994027073954
0,220,0.99,maniac,True,0.9999436094504801
0,220,0.98,maniac,True,0.9971945174968435
0,240,1.0,maniac,True,0.9999999999995904
0,240,0.999,maniac,True,0.9999999999909279
0,240,0.995,maniac,True,0.9999999640803005
0,240,0.99,maniac,True,0.9999928994228136
0,240,0.98,maniac,True,0.9993087731616491
0,260,1.0,maniac,True,0.9999999999996331
0,260,0.999,maniac,True,0.9999999999860137
0,260,0.995,maniac,True,0.9999998076974284
0,260,0.99,maniac,True,0.9999308260738792
0,260,0.98,maniac,True,0.9909546932979529
0,280,1.0,maniac,True,0.9999999999999852
0,280,0.999,maniac,True,0.9999999999989779
0,280,0.995,maniac,True,0.999999946995311
0,280,0.99,maniac,True,0.9999646610222614
0,280,0.98,maniac,True,0.9935543608510363
0,300,1.0,maniac,True,0.9999999999999912
