archetype,decay,flip_rate,mean_flip_episodes_per_repeat,mean_confidence
bluff_heavy,0.98,0.10844748858447488,8.6,0.7059218386054241
bluff_heavy,0.99,0.03949771689497717,2.6,0.8651270747013005
bluff_heavy,0.995,0.013926940639269407,0.6666666666666666,0.9597299487228459
bluff_heavy,0.999,0.0073059360730593605,0.13333333333333333,0.9912557770931326
bluff_heavy,1.0,0.007077625570776256,0.1,0.9924456268787231
maniac,0.98,0.013470319634703196,1.3666666666666667,0.9387380762484033
maniac,0.99,0.001141552511415525,0.1,0.9930309095013802
maniac,0.995,0.0,0.0,0.999254338067108
maniac,0.999,0.00022831050228310502,0.0,0.9996793653696783
maniac,1.0,0.00022831050228310502,0.0,0.9997186473993027
