repeat,hand,regime,true_archetype,belief,ev
0,100,before,maniac,baseline,0.030785270761233215
0,100,before,maniac,recency,0.030753876663615582
0,200,before,maniac,baseline,0.030786481339740504
0,200,before,maniac,recency,0.03078589906824684
0,300,before,maniac,baseline,0.030786481524847375
0,300,before,maniac,recency,0.03078647588493334
0,400,before,maniac,baseline,0.030786481524847524
0,400,before,maniac,recency,0.030786380097704902
0,500,before,maniac,baseline,0.030786481524847652
0,500,before,maniac,recency,0.03078648075753917
0,600,before,maniac,baseline,0.030786481524847652
0,600,before,maniac,recency,0.030786458002216868
0,700,before,maniac,baseline,0.030786481524847652
0,700,before,maniac,recency,0.030786471385143975
0,800,before,maniac,baseline,0.030786481524847652
0,800,before,maniac,recency,0.030786480894340492
0,900,before,maniac,baseline,0.030786481524847652
0,900,before,maniac,recency,0.030786481169700397
0,1000,before,maniac,baseline,0.030786481524847652
0,1000,before,maniac,recency,0.030786481521855504
0,1100,before,maniac,baseline,0.030786481524847652
0,1100,before,maniac,recency,0.030786481524183486
0,1200,before,maniac,baseline,0.030786481524847652
0,1200,before,maniac,recency,0.030786481524586042
0,1300,before,maniac,baseline,0.030786481524847652
0,1300,before,maniac,recency,0.030786481514335357
0,1400,before,maniac,baseline,0.030786481524847652
0,1400,before,maniac,recency,0.030786481519406363
0,1500,before,maniac,baseline,0.030786481524847652
0,1500,before,maniac,recency,0.030786481523519565
0,1600,before,maniac,baseline,0.030786481524847652
0,1600,before,maniac,recency,0.030786481524543708
0,1700,before,maniac,baseline,0.030786481524847652
0,1700,before,maniac,recency,0.03078648150990026
0,1800,before,maniac,baseline,0.030786481524847652
0,1800,before,maniac,recency,0.03078643953290205
0,1900,before,maniac,baseline,0.030786481524847652
0,1900,before,maniac,recency,0.03078648152450668
0,2000,before,maniac,baseline,0.030786481524847652
0,2000,before,maniac,recency,0.030786481450095656
0,2100,after,nit,baseline,-0.016856336309146444
0,2100,after,nit,recency,-0.009781972519699283
0,2200,after,nit,baseline,-0.016856336309146444
0,2200,after,nit,recency,-0.0009311089652875651
0,2300,after,nit,baseline,-0.016856336309146444
0,2300,after,nit,recency,-5.337641440866792e-06
0,2400,after,nit,baseline,-0.016856336309146444
0,2400,after,nit,recency,0.006384676859872027
0,2500,after,nit,baseline,-0.016856336309146444
0,2500,after,nit,recency,0.009644161969726596
0,2600,after,nit,baseline,-0.016856336309146444
0,2600,after,nit,recency,0.00973976418258709
0,2700,after,nit,baseline,-0.016856336307530084
0,2700,after,nit,recency,0.009746412978803319
0,2800,after,nit,baseline,-0.009900316144835046
0,2800,after,nit,recency,0.00974849612065136
0,2900,after,nit,baseline,-0.009797732852921869
0,2900,after,nit,recency,0.009748711550045933
0,3000,after,nit,baseline,-0.009797732852921869
0,3000,after,nit,recency,0.00974867273530785
